year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,adjusted top genre
0.6760563380281681,0.32846715328467146,0.2580645161290323,0.34615384615384615,0.6956521739130435,0.1208791208791209,0.23655913978494625,0.12590799031476999,0.7575757575757577,0.02222222222222222,0.31034482758620685,standards
0.4507042253521121,0.7883211678832117,0.22580645161290325,0.3717948717948718,0.34782608695652173,0.1208791208791209,0.2903225806451613,0.32445520581113796,0.25252525252525254,0.02222222222222222,0.7068965517241379,standards
0.3521126760563362,0.43065693430656926,0.43010752688172044,0.4871794871794872,0.6956521739130435,0.14285714285714288,0.36559139784946243,0.23002421307506057,0.4545454545454546,0.02222222222222222,0.6379310344827587,standards
0.8732394366197198,0.35036496350364965,0.5268817204301075,0.6794871794871795,0.7391304347826086,0.10989010989010989,0.18279569892473121,0.30266343825665853,0.15151515151515152,0.08888888888888888,0.8275862068965516,rock
0.3239436619718319,0.4817518248175182,0.44086021505376344,0.3846153846153847,0.4347826086956521,0.032967032967032975,0.06451612903225806,0.29297820823244547,0.08080808080808081,0.08888888888888888,0.31034482758620685,pop
0.6056338028169002,0.6423357664233577,0.38709677419354843,0.5897435897435898,0.6521739130434783,0.04395604395604395,0.5053763440860215,0.612590799031477,0.07070707070707072,0.0,0.7758620689655171,rock
0.9154929577464799,0.33576642335766416,0.34408602150537637,0.35897435897435903,0.6086956521739131,0.15384615384615385,0.47311827956989255,0.06779661016949154,0.8282828282828284,0.02222222222222222,0.15517241379310343,boy band
0.52112676056338,0.18248175182481752,0.6344086021505376,0.576923076923077,0.6521739130434783,0.054945054945054944,0.7419354838709677,0.5932203389830508,0.12121212121212122,0.02222222222222222,0.7241379310344827,standards
0.816901408450704,0.4890510948905109,0.6559139784946236,0.39743589743589747,0.6521739130434783,0.08791208791208792,0.7419354838709677,0.19128329297820826,0.30303030303030304,0.06666666666666668,0.06896551724137934,boy band
0.5774647887323958,0.6204379562043795,0.32258064516129037,0.47435897435897434,0.6521739130434783,0.24175824175824176,0.849462365591398,0.0,0.8484848484848485,0.044444444444444446,0.15517241379310343,rock
0.9718309859154921,0.014598540145985384,0.5913978494623656,0.4358974358974359,0.7826086956521738,0.27472527472527475,0.6236559139784947,0.11138014527845039,0.36363636363636365,0.044444444444444446,0.5862068965517242,pop
0.2816901408450718,0.5182481751824817,0.43010752688172044,0.6282051282051282,0.5217391304347826,0.5274725274725275,0.7634408602150538,0.13075060532687652,0.3434343434343435,0.02222222222222222,0.24137931034482762,pop
0.3802816901408441,0.45985401459854014,0.34408602150537637,0.6153846153846154,0.6521739130434783,0.10989010989010989,0.6666666666666667,0.20823244552058115,0.4545454545454546,0.02222222222222222,0.3448275862068966,rock-and-roll
0.6197183098591559,0.10948905109489049,0.35483870967741943,0.35897435897435903,0.6086956521739131,0.1208791208791209,0.06451612903225806,0.3656174334140436,0.6464646464646465,0.02222222222222222,0.6724137931034482,pop
